minute_start_utc,in_count,out_count,naive_occupancy_end
2026-01-20 00:00:00+00:00,0,0,0
2026-01-20 00:01:00+00:00,0,0,0
2026-01-20 00:02:00+00:00,0,0,0
2026-01-20 00:03:00+00:00,0,0,0
2026-01-20 00:04:00+00:00,0,0,0
2026-01-20 00:05:00+00:00,0,0,0
2026-01-20 00:06:00+00:00,0,0,0
2026-01-20 00:07:00+00:00,0,0,0
2026-01-20 00:08:00+00:00,0,0,0
2026-01-20 00:09:00+00:00,0,0,0
2026-01-20 00:10:00+00:00,0,0,0
2026-01-20 00:11:00+00:00,0,0,0
2026-01-20 00:12:00+00:00,0,0,0
2026-01-20 00:13:00+00:00,0,0,0
2026-01-20 00:14:00+00:00,0,0,0
2026-01-20 00:15:00+00:00,0,0,0
2026-01-20 00:16:00+00:00,0,0,0
2026-01-20 00:17:00+00:00,0,0,0
2026-01-20 00:18:00+00:00,0,0,0
2026-01-20 00:19:00+00:00,0,0,0
2026-01-20 00:20:00+00:00,0,0,0
2026-01-20 00:21:00+00:00,0,0,0
2026-01-20 00:22:00+00:00,0,0,0
2026-01-20 00:23:00+00:00,0,0,0
2026-01-20 00:24:00+00:00,0,0,0
2026-01-20 00:25:00+00:00,0,0,0
2026-01-20 00:26:00+00:00,0,0,0
2026-01-20 00:27:00+00:00,0,0,0
2026-01-20 00:28:00+00:00,0,0,0
2026-01-20 00:29:00+00:00,0,0,0
2026-01-20 00:30:00+00:00,0,0,0
2026-01-20 00:31:00+00:00,0,0,0
2026-01-20 00:32:00+00:00,0,0,0
2026-01-20 00:33:00+00:00,0,0,0
2026-01-20 00:34:00+00:00,0,1,-1
2026-01-20 00:35:00+00:00,0,0,-1
2026-01-20 00:36:00+00:00,0,0,-1
2026-01-20 00:37:00+00:00,0,0,-1
2026-01-20 00:38:00+00:00,0,0,-1
2026-01-20 00:39:00+00:00,0,0,-1
2026-01-20 00:40:00+00:00,0,0,-1
2026-01-20 00:41:00+00:00,0,0,-1
2026-01-20 00:42:00+00:00,0,0,-1
