minute_start_utc,in_count_measured,out_count_measured,in_count_corrected,out_count_corrected,occupancy_corrected_end,occupancy_truth_end,occupancy_abs_err
2026-01-15T06:00:00Z,8.0,7.0,9.142178581989137,6.87244032013674,2.269738261852453,4,1.7302617381475471
2026-01-15T06:01:00Z,5.0,7.0,6.483520864927076,6.862733704339711,1.8905254224398726,3,1.1094745775601274
2026-01-15T06:02:00Z,7.0,5.0,7.993051089561483,4.901997313340254,4.981579198661158,3,1.9815791986611577
2026-01-15T06:03:00Z,2.0,9.0,3.8613737485809216,8.842952947247385,-5.250362900015323e-12,0,5.250362900015323e-12
2026-01-15T06:04:00Z,11.0,7.0,11.454942022396018,6.8767273874808525,4.57821463490472,8,3.42178536509528
2026-01-15T06:05:00Z,3.0,4.0,4.511438871364791,3.8918911956763593,5.197762310587956,8,2.8022376894120438
2026-01-15T06:06:00Z,3.0,3.0,4.160801274908412,2.921206010900628,6.437357574590545,6,0.43735757459054536
2026-01-15T06:07:00Z,2.0,10.0,3.3902773038595697,9.82763487795504,4.898805224086501e-10,2,1.9999999995101194
2026-01-15T06:08:00Z,6.0,6.0,6.78938753520242,5.896951208335,0.892436327842006,3,2.107563672157994
2026-01-15T06:09:00Z,2.0,4.0,3.4305382578621684,3.9022195093946253,0.4207550767941939,0,0.4207550767941939
2026-01-15T06:10:00Z,5.0,5.0,6.136743920357756,4.897099996308185,1.6603990013283578,0,1.6603990013283578
2026-01-15T06:11:00Z,8.0,8.0,9.032117767286202,7.857690057007824,2.834826712091399,3,0.1651732879086012
2026-01-15T06:12:00Z,9.0,5.0,10.024136729328465,4.902001839302441,7.956961602602121,9,1.0430383973978792
2026-01-15T06:13:00Z,8.0,5.0,8.953180036780662,4.892391812660965,12.017749827206387,16,3.982250172793613
2026-01-15T06:14:00Z,3.0,6.0,4.400113825472461,5.90685466199849,10.511008991165056,11,0.48899100883494384
2026-01-15T06:15:00Z,4.0,11.0,5.303613853360364,10.837960270694383,4.976662574315526,8,3.023337425684474
2026-01-15T06:16:00Z,9.0,6.0,9.733680659657898,5.906830396466198,8.803512837991775,11,2.196487162008225
2026-01-15T06:17:00Z,5.0,5.0,6.291650349106329,4.887490214879491,10.207672972703165,10,0.20767297270316476
2026-01-15T06:18:00Z,5.0,4.0,6.136916686800206,3.911903432459579,12.432686227528222,12,0.4326862275282224
2026-01-15T06:19:00Z,5.0,8.0,6.174806400078515,7.862713591754399,10.744779036336638,9,1.744779036336638
2026-01-15T06:20:00Z,6.0,7.0,7.163113725304649,6.9019525809215505,11.00594018120404,8,3.005940181204039
2026-01-15T06:21:00Z,8.0,9.0,8.867985135134607,8.877418265248197,10.996507051574781,8,2.996507051574781
2026-01-15T06:22:00Z,4.0,9.0,5.386848791637177,8.88224754458322,7.501108299112957,5,2.501108299112957
2026-01-15T06:23:00Z,6.0,8.0,7.096977787670069,7.882296323113318,6.715789764153897,2,4.715789764153897
2026-01-15T06:24:00Z,7.0,6.0,8.200952004034464,5.887320346702205,9.029421421970198,2,7.0294214219701985
